Level,HoleOnMoney,HoleOffMoney,HoleRefreshMoney,HoleMergeMoney
1,0,9300,6200,18600
2,0,18700,12400,37400
3,0,28100,18700,56200
4,0,37500,25000,75000
5,0,46900,31200,93800
6,0,56300,37500,112600
7,0,65600,43700,131200
8,0,75000,50000,150000
9,0,84400,56200,168800
10,0,93800,62500,187600
11,0,103200,68800,206400
12,0,112600,75000,225200
13,0,122000,81300,244000
14,0,131300,87500,262600
15,0,140700,93800,281400
16,0,150100,100000,300200
17,0,159500,106300,319000
18,0,168900,112600,337800
19,0,178300,118800,356600
20,0,187600,125000,375200
