Id,NeedJob,NeedSex,Character,Filename,FilePart,Dummy
101,0,0,1,Model/commonhair/$hero_bone_01_head/hero_bone_01_head.FBX,face,
102,0,0,1,Model/commonhair/$hero_bone_02_head/hero_bone_02_head.FBX,face,
103,0,0,1,Model/commonhair/$hero_bone_03_head/hero_bone_03_head.FBX,face,
104,0,0,1,Model/commonhair/$hero_bone_04_head/hero_bone_04_head.FBX,face,
105,0,0,1,Model/commonhair/$hero_bone_05_head/hero_bone_05_head.FBX,face,
106,0,0,1,Model/commonhair/$hero_bone_06_head/hero_bone_06_head.FBX,face,
107,0,0,1,Model/commonhair/$hero_bone_07_head/hero_bone_07_head.FBX,face,
108,0,0,1,Model/commonhair/$hero_bone_08_head/hero_bone_08_head.FBX,face,
111,0,1,1,Model/commonhair_female/$heroine_bone_01_head/heroine_bone_01_head.FBX,face,
112,0,1,1,Model/commonhair_female/$heroine_bone_02_head/heroine_bone_02_head.FBX,face,
113,0,1,1,Model/commonhair_female/$heroine_bone_03_head/heroine_bone_03_head.FBX,face,
114,0,1,1,Model/commonhair_female/$heroine_bone_04_head/heroine_bone_04_head.FBX,face,
115,0,1,1,Model/commonhair_female/$heroine_bone_05_head/heroine_bone_05_head.FBX,face,
116,0,1,1,Model/commonhair_female/$heroine_bone_06_head/heroine_bone_06_head.FBX,face,
117,0,1,1,Model/commonhair_female/$heroine_bone_07_head/heroine_bone_07_head.FBX,face,
118,0,1,1,Model/commonhair_female/$heroine_bone_08_head/heroine_bone_08_head.FBX,face,
